data,produkt,kategoria,liczba_sztuk,cena_jednostkowa
2026-01-14,Lampa,Dom,5,129
2026-01-10,Słuchawki,Elektronika,3,219
2026-01-23,Długopis,Biuro,5,5.5
2026-01-01,Klawiatura,Elektronika,4,149.9
2026-01-27,Kubek,Dom,7,29.9
2026-01-28,Słuchawki,Elektronika,6,219
2026-01-28,Notes,Biuro,7,19.9
2026-01-18,Mysz,Elektronika,1,79.9
2026-01-27,Mysz,Elektronika,4,79.9
2026-01-23,Mysz,Elektronika,4,79.9
2026-01-18,Słuchawki,Elektronika,2,219
2026-01-21,Notes,Biuro,2,19.9
2026-01-14,Słuchawki,Elektronika,2,219
2026-01-28,Lampa,Dom,8,129
2026-01-20,Notes,Biuro,3,19.9
2026-01-26,Notes,Biuro,7,19.9
2026-01-17,Długopis,Biuro,6,5.5
2026-01-14,Klawiatura,Elektronika,6,149.9
2026-01-02,Lampa,Dom,6,129
2026-01-16,Klawiatura,Elektronika,6,149.9
2026-01-25,Lampa,Dom,1,129
2026-01-13,Długopis,Biuro,4,5.5
2026-01-18,Klawiatura,Elektronika,4,149.9
2026-01-17,Mysz,Elektronika,6,79.9
2026-01-09,Klawiatura,Elektronika,2,149.9
2026-01-09,Długopis,Biuro,4,5.5
2026-01-20,Notes,Biuro,3,19.9
2026-01-22,Słuchawki,Elektronika,5,219
2026-01-11,Słuchawki,Elektronika,3,219
2026-01-04,Słuchawki,Elektronika,5,219
2026-02-01,Słuchawki,Elektronika,1,219
2026-02-12,Długopis,Biuro,1,5.5
2026-02-24,Kubek,Dom,5,29.9
2026-02-21,Kubek,Dom,1,29.9
2026-02-07,Notes,Biuro,5,19.9
2026-02-03,Słuchawki,Elektronika,8,219
2026-02-20,Klawiatura,Elektronika,3,149.9
2026-02-16,Kubek,Dom,7,29.9
2026-02-07,Mysz,Elektronika,5,79.9
2026-02-22,Mysz,Elektronika,2,79.9
2026-02-02,Mysz,Elektronika,5,79.9
2026-02-11,Długopis,Biuro,6,5.5
2026-02-06,Klawiatura,Elektronika,7,149.9
2026-02-23,Klawiatura,Elektronika,5,149.9
2026-02-09,Długopis,Biuro,7,5.5
2026-02-03,Kubek,Dom,2,29.9
